AgeDropdown,24,,,,,,,,,,,,,,,,
GenderDropdown,Female,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
instructionLoop,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
instructionLoop,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CoinBoxGoodness,CoinBoxGoodness,4,,,,,,,,,,,,,,,
ChoiceBoxGoodness,ChoiceBoxGoodness,2,,,,,,,,,,,,,,,
Equity,Equity,31,0.742621471,0.272532468,0.716693093,0.479056705,-1,2,2515,-1,-1,-1,-1,-1,-1,1,This line is broken
1,0.742621471,0.272532468,0.716693093,0.479056705,-1,2,2515,-1,-1,-1,-1,-1,-1,1,,,
2,0.714054438,0.289569747,0.71177036,0.45645831,-1,2,2507,-1,-1,-1,-1,-1,-1,1,,,
3,0.70894791,0.346194424,0.714402964,0.465936792,left,1,743,TRUE,right,2,2,1081,0,1,,,
4,0.732490347,0.339447868,0.70401319,0.385709277,right,2,331,TRUE,left,1,3,685,1,1,,,
5,0.717249489,0.407606753,0.721518196,0.422206287,right,2,440,FALSE,left,1,2,1218,1,1,,,
6,0.663092899,0.455112621,0.721181154,0.40456549,right,2,419,TRUE,left,1,3,1036,1,1,,,
7,0.672738831,0.474384546,0.743141114,0.381869747,right,2,513,FALSE,left,1,2,596,1,1,,,
8,0.66804534,0.480846589,0.73156488,0.405588633,right,2,489,TRUE,left,1,3,682,1,1,,,
9,0.669015262,0.513473956,0.728107518,0.406872762,right,2,349,FALSE,left,1,2,636,1,1,,,
10,0.646711202,0.526146179,0.730336498,0.408509497,right,2,329,FALSE,left,1,2,728,1,1,,,
11,0.607944403,0.543315429,0.724719473,0.3813497,right,2,286,TRUE,left,1,3,464,1,1,,,
12,0.623056851,0.526648889,0.697371745,0.395908107,right,2,286,FALSE,left,1,2,702,0,1,,,
13,0.60772167,0.554902084,0.689983332,0.380218518,right,2,314,TRUE,left,1,3,660,1,1,,,
14,0.642416334,0.576955978,0.708708279,0.341168637,left,1,310,TRUE,left,1,2,877,1,1,,,
15,0.614010352,0.604034383,0.732507163,0.350118401,right,2,309,TRUE,left,1,3,392,0,1,,,
16,0.680413308,0.594441284,0.716261233,0.355798839,right,2,280,TRUE,left,1,3,731,1,1,,,
17,0.671024351,0.588086275,0.730069464,0.330877939,right,2,358,FALSE,left,1,2,752,1,1,,,
18,0.718432569,0.568204732,0.686176169,0.309765162,right,2,322,TRUE,left,1,3,478,1,1,,,
19,0.713141824,0.578657024,0.69606243,0.367234912,right,2,280,TRUE,left,1,3,450,1,1,,,
20,0.707002309,0.572723192,0.70102146,0.34498391,right,2,255,TRUE,left,1,3,444,1,1,,,
21,0.697338532,0.583247904,0.713862581,0.369623913,right,2,270,TRUE,left,1,3,353,1,1,,,
22,0.683738606,0.577831133,0.720175638,0.347221827,right,2,274,FALSE,left,1,2,809,0,1,,,
23,0.723666933,0.594247039,0.678758988,0.350429018,right,2,286,FALSE,left,1,2,691,1,1,,,
24,0.722552863,0.643635517,0.65767281,0.358987449,right,2,313,TRUE,left,1,3,552,1,1,,,
25,0.729163712,0.664465486,0.65918923,0.37372609,right,2,255,TRUE,left,1,3,450,1,1,,,
26,0.736463051,0.667677417,0.63378924,0.388062858,right,2,251,TRUE,left,1,3,424,1,1,,,
27,0.743521712,0.680410974,0.603566014,0.365819318,right,2,271,TRUE,left,1,3,479,1,1,,,
28,0.732307753,0.688129657,0.639730343,0.324473032,right,2,259,FALSE,left,1,2,722,1,1,,,
29,0.73681167,0.670863419,0.612317834,0.359797741,right,2,271,TRUE,left,1,3,369,1,1,,,
30,0.743345059,0.664878919,0.616259626,0.316896487,right,2,284,TRUE,left,1,3,442,1,1,,,
31,0.746265616,0.667204231,0.579599462,0.313355007,right,2,727,FALSE,left,1,2,349,1,1,,,
32,0.723199981,0.642676984,0.581017755,0.308527187,right,2,278,FALSE,left,1,2,861,1,1,,,
33,0.694695825,0.703101902,0.568902199,0.290605018,right,2,237,TRUE,left,1,3,489,0,1,,,
34,0.673340949,0.696419411,0.578031479,0.309599445,right,2,223,TRUE,left,1,3,350,1,1,,,
35,0.652335091,0.704383458,0.596055363,0.279470956,right,2,294,TRUE,left,1,3,361,0,1,,,
36,0.657451953,0.683837921,0.568078581,0.274048236,right,2,280,TRUE,right,2,3,505,0,1,,,
37,0.675374672,0.712212599,0.561377542,0.284355797,right,2,275,TRUE,left,1,3,346,1,1,,,
38,0.671284094,0.716259324,0.566258885,0.26993804,right,2,275,TRUE,left,1,3,330,0,1,,,
39,0.654751036,0.744322708,0.618638427,0.294912002,right,2,284,TRUE,left,1,3,559,0,1,,,
40,0.660675754,0.685611641,0.605892202,0.270200806,right,2,280,TRUE,right,2,3,431,0,1,,,
41,0.697626231,0.729448779,0.608670558,0.256991529,right,2,380,TRUE,left,1,3,361,1,1,,,
42,0.726645074,0.717332379,0.603307527,0.277574736,right,2,255,TRUE,left,1,3,412,1,1,,,
43,0.710785605,0.735720326,0.603035836,0.30046304,right,2,279,TRUE,left,1,3,415,0,1,,,
44,0.690886939,0.740720643,0.608800181,0.305367116,right,2,307,TRUE,left,1,3,446,1,1,,,
45,0.682073027,0.726886066,0.597549552,0.298118155,left,1,376,TRUE,left,1,2,369,1,1,,,
46,0.692167085,0.701363726,0.639345636,0.368054277,right,2,384,TRUE,left,1,3,376,1,1,,,
47,0.726979525,0.685298682,0.665140218,0.392550601,left,1,423,TRUE,left,1,2,253,0,1,,,
48,0.734914379,0.681530454,0.667316356,0.380373869,right,2,252,TRUE,left,1,3,318,1,1,,,
49,0.714865064,0.653994688,0.672014217,0.367354017,left,1,302,TRUE,left,1,2,282,1,1,,,
50,0.713201332,0.676140093,0.674811303,0.344411486,right,2,296,TRUE,left,1,3,321,1,1,,,
51,0.733109438,0.669322372,0.662652287,0.297205739,left,1,282,TRUE,left,1,2,323,0,1,,,
52,0.700235094,0.701682886,0.677069606,0.332317401,right,2,294,FALSE,left,1,2,279,1,1,,,
53,0.681608517,0.67962978,0.681276832,0.288342859,right,2,237,FALSE,left,1,2,490,1,1,,,
54,0.611253602,0.660626826,0.709523853,0.330572173,right,2,266,TRUE,left,1,3,487,0,1,,,
55,0.667037772,0.672946187,0.737926106,0.317011361,left,1,270,FALSE,left,1,3,283,1,1,,,
56,0.663328365,0.668736432,0.720239437,0.329794236,right,2,268,TRUE,left,1,3,462,1,1,,,
57,0.61229178,0.648129628,0.714275483,0.285713899,right,2,259,TRUE,left,1,3,335,1,1,,,
58,0.601996753,0.690302803,0.676016485,0.271887355,right,2,309,TRUE,left,1,3,282,1,1,,,
59,0.613291722,0.709488073,0.661531679,0.299130691,left,1,254,TRUE,left,1,2,287,0,1,,,
60,0.576180172,0.710892276,0.652653677,0.314466702,right,2,200,FALSE,left,1,2,266,1,1,,,
